,Well,Date,Slope,Intercept
0,MPG-02,,1000000.0,
1,MPG-14,2024-03-02,1.56782186911078,-872.527847009539
2,MPG-14,2024-03-03,1.9132876372062577,-1107.6076703732633
3,MPG-14,2024-03-04,2.0000141625574215,-1161.5601543747166
4,MPG-14,2024-03-05,1.2703265062370248,-638.8067342597537
5,MPG-14,2024-03-08,1.5304708323418126,-809.3259947766614
6,MPG-14,2024-03-09,1.4120234404381307,-728.7987261143764
7,MPG-14,2024-03-10,0.9907159516482217,-434.4697229472542
8,MPG-14,2024-03-12,0.9033851878595388,-370.6623749505035
9,MPG-14,2024-03-13,1.3354426237528367,-665.1878329573889
10,MPG-14,2024-03-14,0.9658634166381485,-413.084529637795
11,MPG-14,2024-03-15,0.9932917739761188,-430.9409006183074
12,MPG-14,2024-03-16,0.9857985526667878,-426.52088929254194
13,MPG-14,2024-03-17,1.6146865403425297,-860.4840589791875
14,MPG-14,2024-03-18,1.312426311037853,-652.1002309849724
15,MPG-14,2024-03-20,1.0328598545195715,-461.7177149467421
16,MPG-14,2024-03-21,1.3655241403701532,-689.5807179602706
17,MPG-14,2024-03-23,1.7561699104899662,-963.990398171511
18,MPG-14,2024-03-24,2.021270129221386,-1149.1521532861618
19,MPG-14,2024-03-25,2.0133173652478376,-1146.0782896215053
20,MPG-14,2024-03-26,1.557923265152625,-828.5922507337548
21,MPG-14,2024-03-27,1.1528170455713316,-544.9586784794128
22,MPG-14,2024-03-28,1.485919608934754,-782.3950812556371
23,MPG-14,2024-03-29,1.657582715653614,-906.5627781641289
24,MPG-14,2024-03-30,1.6533552220485122,-905.7817211370128
25,MPG-14,2024-03-31,1.6957939884432844,-932.5950294807357
26,MPG-14,2024-04-05,1.3495705714204842,-750.6053208713215
27,MPG-14,2024-04-08,2.2326883117929115,-1340.7140274429157
28,MPG-14,2024-04-09,1.2998838559202266,-667.8973129586819
29,MPG-14,2024-04-10,1.4482784947536844,-770.9082818969899
30,MPG-14,2024-04-11,1.6746267020499501,-933.6501030283813
31,MPG-14,2024-04-13,1.338943397160121,-689.8700701431011
32,MPG-14,2024-04-14,1.7558792117378361,-984.143326560385
33,MPG-14,2024-04-15,1.7046157389389436,-943.9206048237329
34,MPG-14,2024-04-16,1.3251085978623036,-674.6958640077343
35,MPG-14,2024-04-17,1.11494777155926,-523.8316708866728
36,MPG-14,2024-04-18,0.96797104798353,-419.2222743017805
37,MPG-14,2024-04-19,0.909414158095895,-375.91806025001773
38,MPG-14,2024-04-20,1.2429344872980974,-609.2219554858357
39,MPG-14,2024-04-21,1.2294522463579725,-599.4359006251184
40,MPG-14,2024-04-22,1.1407173270120896,-536.6761998931368
41,MPG-14,2024-04-23,1.47121757959128,-764.2675671573016
42,MPG-14,2024-04-24,1.225070489291536,-594.828988726224
43,MPG-14,2024-04-25,1.034372973726857,-465.4709389688498
44,MPG-14,2024-04-26,0.9043475034354093,-369.6488654435595
45,MPG-14,2024-04-27,1.375697564957123,-695.649653066757
46,MPG-14,2024-04-28,0.918521084894007,-377.9373841587881
47,MPG-14,2024-04-29,1.352661185073645,-680.1807287018544
48,MPG-14,2024-05-06,0.9721140028664059,-533.1924079335473
49,MPG-14,2024-05-11,1.145507583242153,-659.632405996537
50,MPG-14,2024-05-13,2.990227641699791,-2074.215768258787
51,MPG-14,2024-05-15,2.8168581881325387,-1923.3863222379446
52,MPG-14,2024-05-17,2.243901134323624,-1472.8494616128683
53,MPG-14,2024-05-18,3.2291214441737943,-2216.49608962762
54,MPG-14,2024-05-19,1.9490765624436268,-1240.9030241981975
55,MPG-14,2024-05-20,1.1220463153354947,-614.4735302854094
56,MPG-16,2024-03-02,12.579362673177874,-7228.92935797972
57,MPG-16,2024-03-03,4.2157527554513265,-2244.884441443211
58,MPG-16,2024-03-04,7.875528397987962,-4418.530534085636
59,MPG-16,2024-03-06,4.965819063855306,-2695.4778458989954
60,MPG-16,2024-03-08,6.129508996772533,-3388.6241295158366
61,MPG-16,2024-03-09,5.175602456152064,-2822.733825637231
62,MPG-16,2024-03-10,6.336664247640962,-3517.103271380165
63,MPG-16,2024-03-11,3.8620113485420235,-2040.9005719806569
64,MPG-16,2024-03-13,1.6144819869150377,-705.646439868549
65,MPG-16,2024-03-14,3.85179457508137,-2036.7507098698316
66,MPG-16,2024-03-16,3.4007158112236904,-1764.9317727458601
67,MPG-16,2024-03-23,7.466617282927744,-4162.2569362267395
68,MPG-16,2024-03-24,1.6681094509332952,-729.3168037483674
69,MPG-16,2024-03-25,3.538398160643857,-1829.711409592103
70,MPG-16,2024-03-30,2.9745750811993936,-1494.3676707027823
71,MPG-16,2024-03-31,6.107966882580305,-3353.6265249305825
72,MPG-16,2024-04-05,4.740315238050941,-2687.3288753146194
73,MPG-16,2024-04-07,1.784181685124594,-842.7781653265497
74,MPG-16,2024-04-08,3.327552584562927,-1798.82751661398
75,MPG-16,2024-04-09,1.8609281539344882,-887.0158427044839
76,MPG-16,2024-04-13,1.126483568253597,-423.8758438501104
77,MPG-16,2024-04-14,5.258195328826876,-2950.249485397398
78,MPG-16,2024-04-16,8.750645910872235,-5045.709485035291
79,MPG-16,2024-04-17,1.0258686328621316,-351.1815824952807
80,MPG-16,2024-04-18,2.256021741160369,-1092.3811646195775
81,MPG-16,2024-04-22,6.599807559428329,-3694.573306106413
82,MPG-16,2024-04-24,3.3920081292989845,-1764.076963676081
83,MPG-16,2024-04-25,5.076649349942609,-2766.5687178753105
84,MPG-16,2024-04-27,6.847087517687408,-3828.9615704995135
85,MPG-16,2024-04-29,22.958702969053828,-13457.037611178137
86,MPG-16,2024-04-30,9.733134040076946,-5561.746016636857
87,MPG-16,2024-05-07,2.756220574710219,-1393.380244992597
88,MPG-16,2024-05-08,1.30455904990228,-532.2878287464024
89,MPG-16,2024-05-09,11.75966337847261,-6716.960554435905
90,MPG-16,2024-05-10,5.1073229523392385,-2770.3330514019513
91,MPG-16,2024-05-12,5.2142056014555775,-2826.8533082943545
92,MPG-16,2024-05-16,4.392414683873463,-2350.0750484155215
93,MPG-18,2024-03-30,1.472617473828489,-832.4845556876805
94,MPH-16,2024-03-02,1.1797810953895904,-404.2694007053527
95,MPH-16,2024-03-03,1.2859969519808503,-466.8622199500291
96,MPH-16,2024-03-04,0.907512120360743,-251.2851522459934
